title,author,publisher,isbn,edition,mrp,purchase_price,selling_price,commission,discount,discount_type,group,product_code,book_type,stock_quantity,stock_godown_quantity,stock_shop_quantity,stock_location,image_url,notes
একটি আয়াত একটি গল্প (১-৫) (পেপারব্যাক),,,,,600,171,342.00,0,0,amount,,24981,single,447,0,447,shop,,Imported from stock report
স্বাধীনতা,,,,,1000,103.7,130,0,0,amount,,82879,single,2,736,-734,shop,,Imported from stock report
একটি হাদিস একটি গল্প,,,,,600,171,342.00,0,0,amount,,82145,single,182,0,182,shop,,Imported from stock report
প্যারাডক্সিক্যাল আয়েশা,সুমাইয়া জহির,তারুণ্য প্রকাশন,,,350,120,199.50,0,0,amount,,82152,single,1186,1134,52,shop,https://tarunyaprokashon.com/media/books/%E0%A6%AA%E0%A6%AF%E0%A6%B0%E0%A6%A1%E0%A6%95%E0%A6%B8%E0%A6%95%E0%A6%AF%E0%A6%B2-%E0%A6%86%E0%A6%AF%E0%A6%B6-fainal-2.jpg,Imported from stock report
আমিও রোজা রাখবো,উবাইদুল্লাহ আস সাহাল,তারুণ্য প্রকাশন,,,250,75,142.50,0,0,amount,,82149,single,865,600,265,shop,https://tarunyaprokashon.com/media/books/cober.jpeg,Imported from stock report
উমারের সাথে সুন্নাহ শিখি,,,,,400,85,160.00,0,0,amount,,82173,single,345,249,96,shop,,Imported from stock report
ক্রুসেড,মুহাম্মাদ আল আরুসি,সঞ্চালন প্রকাশনী,,,500,165,200.00,0,0,amount,,82176,single,194,175,19,shop,https://tarunyaprokashon.com/media/books/%E0%A6%95%E0%A6%B0%E0%A6%B8%E0%A6%A1--%E0%A6%AA%E0%A6%B0%E0%A6%9A%E0%A6%AF-%E0%A6%A5%E0%A6%95-%E0%A6%AA%E0%A6%B6%E0%A6%9A%E0%A6%A4%E0%A6%AF_n5bN1EN.webp,Imported from stock report
গল্পে গল্পে জীবন সাজাই,মুহাম্মাদ আবদুল আউয়াল,তারুণ্য প্রকাশন,,,200,110,114.00,0,0,amount,,82150,single,521,456,65,shop,https://tarunyaprokashon.com/media/books/golpe_golpe_jibon_sajai.jpg,Imported from stock report
ফাতিমার সাথে ইসলাম শিখি,ড. উম্মে বুশরা সুমনা,তারুণ্য প্রকাশন,,,650,220,370.50,0,0,amount,,82148,single,60,0,60,shop,https://tarunyaprokashon.com/media/books/cover.png,Imported from stock report
ফুলবাগিচার বুলকুলি,,,,,300,171,171.0,0,0,amount,,82157,single,306,0,306,shop,,Imported from stock report
