"Book Name","Book Code","Production Cost","MRP","Selling Price","Total Stock","গোডাউন ৪তলা","গোডাউন ৬তলা","বিক্রয়কেন্দ্র"
"একটি আয়াত একটি গল্প (১-৫) (পেপারব্যাক)","24981","171","600","342.00","447","","","447"
"স্বাধীনতা","82879","103.7","1000","130","2","736","","-734"
"একটি হাদিস একটি গল্প","82145","171","600","342.00","182","","","182"
"প্যারাডক্সিক্যাল আয়েশা","82152","120","350","199.50","1186","","1134","52"
"আমিও রোজা রাখবো","82149","75","250","142.50","865","","600","265"
"উমারের সাথে সুন্নাহ শিখি","82173","85","400","160.00","345","","249","96"
"ক্রুসেড","82176","165","500","200.00","194","","175","19"
"গল্পে গল্পে জীবন সাজাই","82150","110","200","114.00","521","","456","65"
"ফাতিমার সাথে ইসলাম শিখি","82148","220","650","370.50","60","","","60"
"ফুলবাগিচার বুলকুলি","82157","171","300","171.0","306","","","306"
"হারিয়ে যাবার আগে","82153","80","210","119.70","381","","358","23"
"গল্প কল্প চিন্তা","82170","85","400","160.00","90","","","90"
"ভাইসরয়ের খুন","82164","45","300","120.00","293","","","293"
"সাম্রাজ্যের সিংহাসন","82160","60","300","120.00","124","","","124"
"১৮৫৭ স্বাধীনতা যুদ্ধের উপাথ্যান","82161","60","300","120.00","151","","","151"
"মহিরুহ","82166","85","400","160.00","107","","10","97"
"বিপিনগঞ্জ বাজার","82163","65","400","160.00","118","","67","51"
"পাইন বনের যোদ্ধা","82159","35","300","120.00","467","","322","145"
"সম্মুখযুদ্ধের মহানায়ক","82162","65","400","160.00","67","","","67"
"নদীর নাম রাঙামাটি","82171","65","300","120.00","322","","","322"
"কুরআনিক নসিহা","82174","50","200","80.00","512","","","512"
"মাহফিল থেকে মাহফিলে","82165","65","300","120.00","32","","","32"
"ছোটদের পরশমণি সিরিজ -১ম","84658","20","60","34.20","110","","110",""
"ছোটদের পরশমণি সিরিজ -২","84659","20","60","34.20","140","","78","62"
"ছোটদের পরশমণি সিরিজ -৩","84660","20","60","34.20","135","","117","18"
"স্বপ্নের সন্তান","82175","115","500","200.00","207","","152","55"
"রোজা ও যাকাতের মাসায়েল","83501","45","150","60.00","310","","209","101"
"আন্দালুসের গল্প : ০১","82168","85","400","160.00","182","","133","49"
"ছড়ানো মুক্ত মানিক","84694","80","400","160.00","184","","135","49"
"জীবন থেকে শিক্ষা","82167","80","700","280.00","3","","","3"
"ছোটদের আসমাউল হুসনার গল্প (১-৫)","87536","215","700","399.00","458","","413","45"
"মিনি প্যারেন্টিং বুক","87537","15","60","34.20","963","","","963"
"ভাইকিংদের দেশে","94867","138","340","146.20","421","","","421"
"কিশোর ক্লাসিক ইসলামের ইতিহাস (প্রথম)","94868","218","300","225.00","85","","","85"
"কিশোর ক্লাসিক ইসলামের ইতিহাস (দ্বিতীয় ভাগ)","94869","306","400","320.00","101","","","101"
"নিশীতের নূর","94870","40","120","68.40","196","","","196"
"অমীমাংসিত রহস্য","95478","80","560","224.00","137","","","137"
"দ্য নিউ ওয়ার্ল্ড অর্ডার","95477","100","760","304","171","","","171"
